15:43:36.631251 IP6 fe80::dd2b:da38:44c8:1eab.dhcpv6-client > ff02::1:2.dhcpv6-server: dhcp6 solicit
15:43:36.633302 IP6 fe80::b809:b0c9:f756:f328.dhcpv6-client > ff02::1:2.dhcpv6-server: dhcp6 solicit
15:43:40.366492 ARP, Request who-has 192.168.48.128 (Broadcast) tell 192.168.48.131, length 46
15:43:40.367173 ARP, Reply 192.168.48.128 is-at 00:0c:29:cb:2e:54 (oui Unknown), length 46
15:43:40.567856 IP 192.168.48.131.47565 > 192.168.48.2.domain: 55483+ PTR? 128.48.168.192.in-addr.arpa. (45)
15:43:40.581379 IP 192.168.48.2.domain > 192.168.48.131.47565: 55483 NXDomain 0/1/0 (113)
15:43:40.605195 IP 192.168.48.131.58400 > 192.168.48.128.telnet: Flags [S], seq 3926955328, win 1024, options [mss 1460], length 0
15:43:48.689752 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 61682, win 35040, length 0
15:43:48.689882 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 64602, win 32120, length 0
15:43:48.689982 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 67522, win 29200, length 0
15:43:48.690114 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 70442, win 26280, length 0
15:43:48.690293 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 73362, win 23360, length 0
15:43:48.690671 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 76282, win 20440, length 0
15:43:48.690987 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 79202, win 17520, length 0
15:43:48.696052 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 82122, win 14600, length 0
15:43:48.696447 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 85042, win 11680, length 0
15:43:48.696674 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 87962, win 8760, length 0
15:43:48.696782 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 90882, win 5840, length 0
15:43:48.696908 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 93802, win 2920, length 0
15:43:48.697043 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 96722, win 0, length 0
15:43:48.697220 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [.], seq 96722:96723, ack 1330, win 64240, length 1
15:43:48.698578 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 96722, win 0, length 0
15:43:48.700260 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 96722, win 64240, length 0
15:43:48.700634 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 96722:108402, ack 1330, win 64240, length 11680
15:43:48.702579 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 108402, win 52560, length 0
15:43:48.704000 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 108402, win 64240, length 0
15:43:48.707342 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 108402:125922, ack 1330, win 64240, length 17520
15:43:48.708275 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 125922:128842, ack 1330, win 64240, length 2920
15:43:48.708397 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 111322, win 64240, length 0
15:43:48.708840 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 114242, win 64240, length 0
15:43:48.708952 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 117162, win 64240, length 0
15:43:48.709731 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 120082, win 61320, length 0
15:43:48.709831 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 123002, win 58400, length 0
15:43:48.709910 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 125922, win 55480, length 0
15:43:48.712009 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 128842:131762, ack 1330, win 64240, length 2920
15:43:48.712159 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 128842, win 52560, length 0
15:43:48.713182 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 131762:137602, ack 1330, win 64240, length 5840
15:43:48.713308 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 131762, win 49640, length 0
15:43:48.713592 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 134682, win 46720, length 0
15:43:48.713912 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 137602, win 43800, length 0
15:43:48.714968 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 137602, win 64240, length 0
15:43:48.720239 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 137602:155122, ack 1330, win 64240, length 17520
15:43:48.721139 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 155122:159502, ack 1330, win 64240, length 4380
15:43:48.721330 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 140522, win 64240, length 0
15:43:48.721725 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 159502:160962, ack 1330, win 64240, length 1460
15:43:48.721833 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 143442, win 64240, length 0
15:43:48.721975 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 146362, win 64240, length 0
15:43:48.722139 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 149282, win 61320, length 0
15:43:48.722591 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 152202, win 58400, length 0
15:43:48.723120 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 155122, win 55480, length 0
15:43:48.723241 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 158042, win 52560, length 0
15:43:48.723430 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 160962, win 49640, length 0
15:43:48.726671 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 160962, win 64240, length 0
15:43:48.733225 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 160962:174102, ack 1330, win 64240, length 13140
15:43:48.734386 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 163882, win 64240, length 0
15:43:48.734497 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 166802, win 64240, length 0
15:43:48.735059 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 169722, win 64240, length 0
15:43:48.735626 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 172642, win 61320, length 0
15:43:48.736160 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 174102, win 63620, length 0
15:43:48.736457 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 174102:179942, ack 1330, win 64240, length 5840
15:43:48.741398 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 179942:196002, ack 1330, win 64240, length 16060
15:43:48.742002 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 196002:197462, ack 1330, win 64240, length 1460
15:43:48.742143 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 177022, win 64240, length 0
15:43:48.742289 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 179942, win 64240, length 0
15:43:48.742498 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 182862, win 64240, length 0
15:43:48.742702 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 185782, win 61320, length 0
15:43:48.742856 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 188702, win 58400, length 0
15:43:48.742993 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 191622, win 55480, length 0
15:43:48.743260 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 194542, win 52560, length 0
15:43:48.743452 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 197462, win 49640, length 0
15:43:48.743829 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 197462, win 64240, length 0
15:43:48.747575 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 197462:203302, ack 1330, win 64240, length 5840
15:43:48.748356 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 200382, win 64240, length 0
15:43:48.748461 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 203302, win 64240, length 0
15:43:48.751163 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 203302:225202, ack 1330, win 64240, length 21900
15:43:48.751689 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 206222, win 64240, length 0
15:43:48.751762 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 209142, win 64240, length 0
15:43:48.752202 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 212062, win 64240, length 0
15:43:48.752382 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 214982, win 61320, length 0
15:43:48.752549 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 217902, win 58400, length 0
15:43:48.752702 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 220822, win 55480, length 0
15:43:48.752852 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 223742, win 52560, length 0
15:43:48.753556 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 225202, win 64240, length 0
15:43:48.754251 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 225202:233962, ack 1330, win 64240, length 8760
15:43:48.754837 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 228122, win 61320, length 0
15:43:48.755255 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 231042, win 58400, length 0
15:43:48.755819 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 233962, win 55480, length 0
15:43:48.757879 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 233962, win 59240, length 0
15:43:48.758250 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 233962, win 64240, length 0
15:43:48.759228 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 233962:247102, ack 1330, win 64240, length 13140
15:43:48.759658 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 236882, win 64240, length 0
15:43:48.759726 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 239802, win 64240, length 0
15:43:48.759885 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 242722, win 64240, length 0
15:43:48.760024 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 245642, win 61320, length 0
15:43:48.760648 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 247102, win 63620, length 0
15:43:48.765613 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 247102:252942, ack 1330, win 64240, length 5840
15:43:48.766412 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 250022, win 64240, length 0
15:43:48.766642 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 252942, win 64240, length 0
15:43:48.771788 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 252942:269002, ack 1330, win 64240, length 16060
15:43:48.772189 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 255862, win 64240, length 0
15:43:48.772459 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 258782, win 64240, length 0
15:43:48.772809 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 261702, win 64240, length 0
15:43:48.772993 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 264622, win 61320, length 0
15:43:48.773125 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 267542, win 58400, length 0
15:43:48.773718 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 269002, win 64240, length 0
15:43:48.776534 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 269002:276302, ack 1330, win 64240, length 7300
15:43:48.779230 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [.], seq 276302:290902, ack 1330, win 64240, length 14600
15:43:48.779743 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 290902:293822, ack 1330, win 64240, length 2920
15:43:48.779838 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 293822:298202, ack 1330, win 64240, length 4380
15:43:48.780401 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 271922, win 64240, length 0
15:43:48.780597 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 274842, win 64240, length 0
15:43:48.780740 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 277762, win 64240, length 0
15:43:48.780957 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 280682, win 61320, length 0
15:43:48.781101 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 283602, win 58400, length 0
15:43:48.781262 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 286522, win 55480, length 0
15:43:48.781408 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 289442, win 52560, length 0
15:43:48.781614 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 292362, win 49640, length 0
15:43:48.782290 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 298202:315722, ack 1330, win 64240, length 17520
15:43:48.782504 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 295282, win 46720, length 0
15:43:48.782557 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 298202, win 43800, length 0
15:43:48.782981 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 301122, win 40880, length 0
15:43:48.783189 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [.], seq 315722:318642, ack 1330, win 64240, length 2920
15:43:48.783370 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 318642:320102, ack 1330, win 64240, length 1460
15:43:48.783596 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 304042, win 37960, length 0
15:43:48.784033 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 306962, win 35040, length 0
15:43:48.784729 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 320102:330322, ack 1330, win 64240, length 10220
15:43:48.785363 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 309882, win 32120, length 0
15:43:48.785802 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 312802, win 29200, length 0
15:43:48.785934 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 315722, win 26280, length 0
15:43:48.786928 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 330322:342002, ack 1330, win 64240, length 11680
15:43:48.787890 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 318642, win 23360, length 0
15:43:48.789442 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 321562, win 20440, length 0
15:43:48.789528 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 324482, win 17520, length 0
15:43:48.789561 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 327402, win 14600, length 0
15:43:48.789591 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 330322, win 11680, length 0
15:43:48.789622 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 333242, win 8760, length 0
15:43:48.789995 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 336162, win 5840, length 0
15:43:48.790110 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 339082, win 2920, length 0
15:43:48.790140 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 342002, win 0, length 0
15:43:48.790292 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 342002, win 64240, length 0
15:43:48.790625 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [.], seq 342002:342003, ack 1330, win 64240, length 1
15:43:48.790697 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 342002:347153, ack 1330, win 64240, length 5151
15:43:48.791051 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 347153, win 59089, length 0
15:43:48.799654 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 347153, win 64240, length 0
15:43:49.469372 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [P.], seq 613:1215, ack 346792, win 64240, length 602
15:43:49.470309 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [.], ack 1215, win 64240, length 0
15:43:49.471005 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [P.], seq 1330:1950, ack 347153, win 64240, length 620
15:43:49.471736 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [.], ack 1950, win 64240, length 0
15:43:49.499398 IP 204.79.197.200.http > 192.168.48.128.1106: Flags [P.], seq 346792:359821, ack 1215, win 64240, length 13029
15:43:49.500356 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 349712, win 64240, length 0
15:43:49.500590 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 352632, win 64240, length 0
15:43:49.500737 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 355552, win 64240, length 0
15:43:49.501082 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 358472, win 61320, length 0
15:43:49.503639 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 347153:363213, ack 1950, win 64240, length 16060
15:43:49.504305 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 363213:369053, ack 1950, win 64240, length 5840
15:43:49.504910 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 350073, win 64240, length 0
15:43:49.505853 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 352993, win 64240, length 0
15:43:49.506438 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 355913, win 64240, length 0
15:43:49.507066 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 369053:386573, ack 1950, win 64240, length 17520
15:43:49.507835 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 386573:390953, ack 1950, win 64240, length 4380
15:43:49.507984 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 358833, win 61320, length 0
15:43:49.508025 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 361753, win 58400, length 0
15:43:49.508054 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 364673, win 55480, length 0
15:43:49.508126 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 367593, win 52560, length 0
15:43:49.509600 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 370513, win 49640, length 0
15:43:49.509939 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 373433, win 46720, length 0
15:43:49.510003 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 376353, win 43800, length 0
15:43:49.510034 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 379273, win 40880, length 0
15:43:49.510063 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 382193, win 37960, length 0
15:43:49.510254 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 385113, win 35040, length 0
15:43:49.511052 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 390953:408473, ack 1950, win 64240, length 17520
15:43:49.511684 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 408473:412853, ack 1950, win 64240, length 4380
15:43:49.511986 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 388033, win 32120, length 0
15:43:49.512054 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 390953, win 29200, length 0
15:43:49.512102 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 393873, win 26280, length 0
15:43:49.512133 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 396793, win 23360, length 0
15:43:49.512162 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 399713, win 20440, length 0
15:43:49.512195 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 402633, win 17520, length 0
15:43:49.512904 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 405553, win 14600, length 0
15:43:49.512983 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 408473, win 11680, length 0
15:43:49.513020 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 411393, win 8760, length 0
15:43:49.515416 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 412853:420153, ack 1950, win 64240, length 7300
15:43:49.516621 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 414313, win 5840, length 0
15:43:49.517131 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 417233, win 2920, length 0
15:43:49.517175 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 420153, win 0, length 0
15:43:49.518104 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [.], seq 420153:420154, ack 1950, win 64240, length 1
15:43:49.518543 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 420153, win 0, length 0
15:43:49.561855 IP 192.168.48.128.1106 > 204.79.197.200.http: Flags [.], ack 359821, win 63731, length 0
15:43:49.562757 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 420153, win 3760, length 0
15:43:49.563676 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 420153:423913, ack 1950, win 64240, length 3760
15:43:49.564348 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 423073, win 840, length 0
15:43:49.611966 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 423913, win 60480, length 0
15:43:49.612975 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 423913:484393, ack 1950, win 64240, length 60480
15:43:49.616237 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 426833, win 57560, length 0
15:43:49.617092 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 429753, win 54640, length 0
15:43:49.617998 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 432673, win 51720, length 0
15:43:49.618811 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 435593, win 48800, length 0
15:43:49.619507 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 438513, win 45880, length 0
15:43:49.620319 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 441433, win 42960, length 0
15:43:49.621023 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 444353, win 40040, length 0
15:43:49.621709 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 447273, win 37120, length 0
15:43:49.622093 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 450193, win 34200, length 0
15:43:49.622404 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 453113, win 31280, length 0
15:43:49.622965 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 456033, win 28360, length 0
15:43:49.623129 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 458953, win 25440, length 0
15:43:49.623290 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 461873, win 22520, length 0
15:43:49.623361 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 464793, win 19600, length 0
15:43:49.623506 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 467713, win 16680, length 0
15:43:49.623623 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 470633, win 13760, length 0
15:43:49.623736 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 473553, win 10840, length 0
15:43:49.623849 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 476473, win 7920, length 0
15:43:49.624042 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 479393, win 5000, length 0
15:43:49.624259 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 482313, win 2080, length 0
15:43:49.624411 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 484393, win 0, length 0
15:43:49.624597 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [.], seq 484393:484394, ack 1950, win 64240, length 1
15:43:49.624947 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 484393, win 0, length 0
15:43:49.626561 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 484393, win 3760, length 0
15:43:49.626856 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 484393:488153, ack 1950, win 64240, length 3760
15:43:49.627136 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 487313, win 840, length 0
15:43:49.627476 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 488153, win 60480, length 0
15:43:49.628284 IP 204.79.197.200.http > 192.168.48.128.1108: Flags [P.], seq 488153:548633, ack 1950, win 64240, length 60480
15:43:49.630046 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 491073, win 57560, length 0
15:43:49.630146 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 493993, win 54640, length 0
15:43:49.630178 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 496913, win 51720, length 0
15:43:49.630293 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 499833, win 48800, length 0
15:43:49.630404 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 502753, win 45880, length 0
15:43:49.630542 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 505673, win 42960, length 0
15:43:49.630661 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 508593, win 40040, length 0
15:43:49.630971 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 511513, win 37120, length 0
15:43:49.631028 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 514433, win 34200, length 0
15:43:49.631057 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 517353, win 31280, length 0
15:43:49.631433 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 520273, win 28360, length 0
15:43:49.631529 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 523193, win 25440, length 0
15:43:49.631666 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 526113, win 22520, length 0
15:43:49.631720 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 529033, win 19600, length 0
15:43:49.631794 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 531953, win 16680, length 0
15:43:49.632514 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 534873, win 13760, length 0
15:43:49.632593 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 537793, win 10840, length 0
15:43:49.632627 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 540713, win 7920, length 0
15:43:49.632657 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 543633, win 5000, length 0
15:43:49.632687 IP 192.168.48.128.1108 > 204.79.197.200.http: Flags [.], ack 546553, win 2080, length 0
